aspect,negative,neutral,positive,total
all the wires,90,84,26,200
3 cameras,71,95,33,199
charge.<br,60,63,76,199
better products,103,57,38,198
Wireless,59,74,65,198
video editing,45,79,72,196
these phones,48,69,79,196
aesthetics,27,48,121,196
positive reviews,44,28,123,195
iPods,48,84,63,195
other cords,72,82,41,195
Compact,0,94,101,195
Bluetooth range,65,84,45,194
Poor design,193,0,0,193
memory card,53,109,31,193
every device,72,82,38,192
all the ports,29,43,120,192
better performance,28,34,129,191
systems,43,80,67,190
Ipad,43,107,40,190
its design,54,49,87,190
One camera,72,77,41,190
different outlets,48,135,6,189
Audio quality,91,28,70,189
flash drives,59,76,53,188
precision,54,67,67,188
Poor sound quality,182,5,0,187
Apps,82,69,36,187
Great battery life,7,0,179,186
another model,63,109,14,186
charging,89,60,37,186
voltage,25,145,15,185
more storage,21,83,81,185
printers,34,129,22,185
responsiveness,48,45,92,185
all ports,44,64,76,184
any camera,66,85,32,183
SanDisk,34,73,75,182
capability,73,29,80,182
Nice design,52,32,98,182
outlet,45,106,30,181
other device,34,120,27,181
Very poor quality,181,0,0,181
RGB,22,84,73,179
one computer,49,89,41,179
Speeds,15,84,79,178
good picture quality,10,9,159,178
customization,57,34,87,178
amps,38,89,50,177
other speakers,38,93,46,177
Good size,4,11,162,177
finger prints,55,59,61,175
Lightweight,7,70,98,175
their phone,59,96,19,174
These chargers,82,26,66,174
his computer,77,75,21,173
tripods,39,95,38,172
poor design,163,9,0,172
Magnavox,89,62,21,172
all the pieces,62,44,66,172
Nice camera,16,50,105,171
their charge,31,71,69,171
other manufacturers,37,96,38,171
smartphone,17,75,79,171
versatility,8,56,107,171
head phones,63,73,34,170
Great size,5,4,159,168
other earbuds,23,63,82,168
these headsets,49,39,78,166
nice features,28,10,128,166
thumb drives,22,74,70,166
IPad,58,36,72,166
some parts,73,67,25,165
nice quality,26,5,134,165
Screws,65,95,4,164
other apps,44,98,22,164
good headphones,21,33,110,164
earplugs,19,86,59,164
Durability,65,81,17,163
sizes,8,68,87,163
disk,71,81,11,163
MP3 players,58,82,23,163
Resolution,71,39,53,163
Audacity,60,90,12,162
Ear,60,45,57,162
USB devices,33,100,29,162
her laptop,60,69,31,160
some devices,94,56,10,160
all parts,15,42,103,160
RT-AC68U,117,29,14,160
4GB,15,95,50,160
USB3,26,68,65,159
no software,76,42,41,159
no distortion,3,48,108,159
poor sound quality,136,4,19,159
Firmware,60,96,2,158
no batteries,61,64,33,158
computer speakers,14,86,58,158
decent sound quality,30,13,114,157
all the good reviews,73,17,66,156
it's size,15,69,72,156
transmitter,54,81,20,155
each device,13,120,22,155
Great design,27,0,128,155
knobs,65,57,32,154
iPad Pro,24,68,62,154
Charge,23,97,34,154
Quality product,0,0,153,153
bluetooth connection,87,28,38,153
sd card,74,57,22,153
several cameras,27,58,68,153
Iphone,56,44,53,153
Great device,0,0,152,152
T-Mobile,56,76,20,152
bios,62,81,9,152
any devices,110,34,8,152
its small size,41,1,110,152
these buttons,43,94,15,152
Storage,43,85,24,152
Good picture quality,10,16,126,152
their laptop,32,84,35,151
physical buttons,36,77,38,151
smartphones,37,87,27,151
spare batteries,37,69,45,151
Soundfly,51,49,51,151
sensor,39,101,11,151
other features,29,69,52,150
free cloud storage,22,93,35,150
Good battery life,0,9,141,150
other systems,33,106,11,150
fast charge,66,44,39,149
excellent sound quality,14,15,119,148
its durability,45,36,67,148
standard,64,69,15,148
external power,46,94,7,147
Reviews,29,24,94,147
dimensions,9,97,41,147
Great screen,1,0,146,147
Adapter,66,54,26,146
fresh batteries,42,88,16,146
security camera,76,50,20,146
android,76,56,13,145
stylus,28,70,47,145
no audiophile,17,65,62,144
Plugs,31,81,32,144
quality.<br,66,22,56,144
missing parts,84,45,15,144
pixels,49,77,17,143
very low quality,138,5,0,143
/>The keyboard,57,28,57,142
any other device,28,77,37,142
no speakers,66,58,18,142
better cameras,28,83,31,142
top quality,24,24,94,142
other applications,22,45,75,142
Good monitor,35,11,96,142
MEElectronics,29,62,51,142
iPad mini,26,67,49,142
some apps,73,56,12,141
extra storage,1,51,89,141
these wires,61,58,22,141
webcam,30,55,56,141
Sounds quality,60,2,79,141
their phones,24,80,37,141
Fuji,43,72,26,141
poor quality control,131,0,10,141
Fingers,4,22,114,140
engineering,51,37,52,140
1 camera,41,77,22,140
Windows Media Center,52,59,28,139
Flimsy,43,83,13,139
earphone,49,68,22,139
Hands,46,22,71,139
Perfect size,0,0,139,139
projectors,26,69,42,137
gps,49,54,34,137
good features,23,5,109,137
external storage,31,69,37,137
quality products,51,19,67,137
pad,38,65,34,137
3 cables,71,41,25,137
all speakers,34,66,36,136
productivity,34,41,61,136
Nice size,7,0,128,135
all the devices,29,93,13,135
tracking,20,85,30,135
Features,32,42,61,135
other chargers,72,42,20,134
mouse combo,1,67,66,134
HDTV,21,46,67,134
cheap quality,64,33,37,134
wireless connection,52,50,31,133
each ear,75,44,14,133
analog,28,90,15,133
any button,44,71,17,132
these camera,75,24,33,132
all the screws,68,48,16,132
all features,18,21,92,131
2GB,9,101,21,131
ipods,31,59,41,131
Touch screen,61,31,39,131
another laptop,58,31,41,130
overall quality,26,21,82,129
amplifier,11,76,42,129
its weight,54,54,20,128
disc,66,49,13,128
4 cameras,41,56,31,128
internal memory,42,58,27,127
DSLR,8,87,32,127
sturdy,0,22,105,127
2 devices,46,47,34,127
cellphone,38,50,39,127
high resolution,39,39,49,127
our camera,71,32,23,126
64GB,16,97,13,126
our iPhones,53,54,19,126
screen.<br,45,35,46,126
ear pieces,41,28,56,125
Monitors,51,68,6,125
throughput,21,74,30,125
our computer,40,42,43,125
Headset,15,42,68,125
no battery,76,45,4,125
terrible quality,125,0,0,125
voice commands,44,71,9,124
/>Quality,25,27,72,124
wireless connections,77,35,12,124
all my cameras,16,63,45,124
logitech,35,55,33,123
144hz,27,64,32,123
linksys,56,46,21,123
indoor cameras,5,64,54,123
many devices,27,56,40,123
his iPad,30,53,40,123
Not good quality,123,0,0,123
Drivers,72,32,18,122
digital cameras,24,69,29,122
These earphones,45,16,61,122
his camera,4,91,27,122
no drivers,54,29,39,122
Hardware,40,50,32,122
all the connections,11,74,37,122
desktops,29,39,54,122
Connectivity,48,19,54,121
smart phones,20,71,30,121
Wires,59,42,20,121
sound bar,64,39,18,121
good products,27,17,77,121
Kensington,9,67,45,121
instruments,26,62,33,121
mp3s,28,67,26,121
MP3 player,26,37,57,120
stereo sound,6,58,56,120
notebooks,1,45,74,120
high end,28,58,34,120
perfect size,0,1,119,120
Devices,34,73,12,119
Great laptop,8,0,111,119
wrist,27,65,27,119
better bass,31,3,85,119
100mbps,57,34,28,119
Mbps,36,47,36,119
any part,40,27,52,119
their cables,43,42,34,119
development,40,67,12,119
vids,41,56,21,118
60hz,47,38,33,118
Macbook Pro,17,49,52,118
Logitech products,12,23,83,118
all the tools,8,50,60,118
quick charge,39,25,54,118
Terrible quality,118,0,0,118
Good quality product,11,0,107,118
one headphone,66,47,5,118
1440p,46,53,18,117
IPhone,37,49,31,117
all cables,27,66,24,117
skype,22,78,17,117
alarms,33,54,30,117
their cameras,52,40,25,117
Good headphones,9,0,108,117
some settings,42,56,18,116
some speakers,52,41,23,116
most cameras,29,39,48,116
her iPad,24,51,41,116
peripherals,18,65,32,115
various devices,15,69,31,115
notebook,2,72,41,115
pretty much everything,19,58,38,115
sound.<br,40,35,40,115
one part,70,40,5,115
very good sound quality,18,0,97,115
mp3 player,16,29,69,114
manufacturers,51,39,24,114
Decent quality,20,4,90,114
most everything,15,28,71,114
many apps,68,11,35,114
latency,45,42,27,114
various sizes,16,82,15,113
motion sensor,43,44,26,113
pads,11,77,25,113
Google Maps,38,72,3,113
their device,47,31,35,113
video mode,14,81,18,113
internet connectivity,66,34,12,112
new cameras,56,55,1,112
Macbook,22,49,41,112
those devices,28,73,11,112
good materials,18,2,92,112
One battery,46,30,36,112
volume buttons,37,62,12,111
microphones,38,52,21,111
regular batteries,48,49,14,111
another battery,35,53,23,111
Surface,59,26,26,111
video calls,43,29,38,110
2 laptops,25,67,18,110
keystrokes,81,15,14,110
3 devices,5,43,62,110
SSDs,18,72,20,110
/>The sound quality,38,1,71,110
Decent sound,28,7,75,110
motherboards,28,41,41,110
Great features,0,0,110,110
3 batteries,14,77,19,110
Samsung support,45,63,1,109
full resolution,34,56,19,109
Low quality,100,0,9,109
CloudCam,48,28,33,109
bad quality,96,0,13,109
all the batteries,41,41,27,109
Device Manager,31,77,1,109
Cyber Acoustics,35,27,47,109
another keyboard,20,85,4,109
Bad quality,109,0,0,109
device manager,46,63,0,109
AC power,20,78,11,109
good quality sound,34,14,60,108
small speakers,22,34,52,108
Stereo,20,76,12,108
Apple CarPlay,14,38,56,108
Parts,44,30,33,107
finger,31,65,11,107
their description,51,31,25,107
better speakers,4,47,56,107
phone app,40,39,28,107
another mouse,45,47,14,106
good performance,10,9,87,106
its quality,22,24,60,106
HP products,64,13,29,106
3 USB ports,0,46,60,106
Rating,33,45,28,106
mobile devices,19,54,33,106
good size,19,5,82,106
speakers.<br,51,36,19,106
other components,29,48,29,106
Nice monitor,24,19,63,106
different computers,49,48,8,105
Charging,5,51,49,105
Fitbit,19,50,36,105
5 GHz,12,78,15,105
accessory,53,17,35,105
USB cables,34,43,28,105
/>The picture quality,18,24,63,105
their camera,41,46,17,104
power source,49,38,17,104
more than one device,31,48,25,104
intel,26,63,15,104
another headset,70,22,12,104
many applications,46,39,19,104
Overall quality,34,6,64,104
power adapter,55,29,20,104
custom,25,64,14,103
mobility,19,57,27,103
pretty good quality,0,1,102,103
video streaming,19,53,31,103
Maps,39,29,35,103
ipads,42,30,31,103
any apps,80,10,13,103
digital,29,34,40,103
MacBook Air,18,50,35,103
what size,25,64,13,102
other headsets,25,40,37,102
100 Mbps,40,17,45,102
its battery,83,9,9,101
wireless charging,42,19,40,101
great speakers,30,2,69,101
screenshots,33,59,9,101
just a piece,77,14,10,101
iphones,40,34,27,101
consoles,47,33,21,101
Alexa devices,17,56,27,100
usb cable,40,46,14,100
usb ports,37,32,31,100
some cameras,12,77,11,100
its capabilities,21,42,37,100
future use,26,55,19,100
one earphone,57,36,7,100
Complete junk,100,0,0,100
high quality sound,17,12,71,100
other parts,36,41,23,100
camcorder,38,54,8,100
cassettes,17,55,28,100
its competitors,12,29,59,100
both headphones,39,22,38,99
quality issues,66,15,18,99
SONY,11,50,38,99
frequency mode,68,31,0,99
any app,46,52,1,99
battery life.<br,5,39,54,98
bluetooth connectivity,30,26,42,98
their computer,14,52,32,98
Earphones,22,39,37,98
loudness,39,35,24,98
full functionality,42,42,13,97
these head phones,29,30,38,97
/>The mouse,20,31,46,97
all the cords,9,59,29,97
iPad Air,42,11,44,97
measurements,21,72,4,97
our computers,26,47,24,97
oem,26,36,35,97
any headphones,36,39,22,97
slow charging,55,32,10,97
their laptops,30,46,21,97
audiophiles,48,16,33,97
full HD,9,47,40,96
IOS,51,27,18,96
all buttons,19,32,45,96
all other devices,43,38,15,96
Very high quality,14,2,80,96
free storage,39,36,21,96
processor,43,34,19,96
100% charge,8,72,16,96
her camera,18,44,34,96
soundbar,39,22,34,95
those buttons,44,27,24,95
all the components,21,32,42,95
each speaker,14,75,6,95
gadgets,21,19,55,95
some headphones,17,50,27,94
other accessories,13,48,33,94
gloves,23,37,34,94
any charge,75,19,0,94
both the keyboard,0,23,71,94
download speeds,9,69,16,94
Memory,13,56,25,94
Ports,42,40,12,94
better battery life,1,29,64,94
good audio,0,20,74,94
Nice screen,17,35,42,94
Clear sound,0,21,72,93
youtube videos,35,52,6,93
Samsung products,30,21,42,93
1080P,11,35,47,93
several computers,32,49,12,93
every feature,15,15,63,93
durable.<br,16,14,63,93
100Mbps,23,67,2,92
HD videos,20,47,25,92
/>The build quality,38,9,45,92
lower quality,74,7,11,92
Volume control,25,38,29,92
Motion sensor,44,14,34,92
their performance,24,5,63,92
soldering,57,30,5,92
USB-A,10,62,20,92
DSL,31,38,23,92
Good design,40,0,51,91
3 ports,7,67,17,91
decent pictures,27,13,51,91
Long battery life,1,12,78,91
Peak Design,55,6,30,91
user interface,49,1,41,91
design.<br,33,31,26,90
USB power,17,50,23,90
All the functions,30,28,32,90
surveillance,50,12,28,90
fingerprint,29,60,1,90
Portability,13,25,52,90
his laptop,24,23,43,90
wireless connectivity,21,38,31,90
smart phone,24,46,20,90
another adapter,13,40,37,90
their sound,36,6,48,90
more cameras,19,50,20,89
mobile,10,60,19,89
These little cameras,8,1,80,89
these little cameras,8,20,61,89
desks,17,43,29,89
ear headphones,51,30,8,89
our cameras,49,31,9,89
brand new batteries,56,18,15,89
MP3s,6,64,19,89
chips,36,31,22,89
any buttons,53,21,15,89
electronic devices,13,42,34,89
better picture quality,1,68,19,88
these headphone,30,20,38,88
full capacity,43,15,30,88
multiple chargers,35,18,35,88
new devices,46,38,4,88
Documentation,44,24,20,88
Otterbox,25,29,34,88
all the apps,24,30,34,88
shortcuts,31,16,41,88
AC adapter,15,49,24,88
Great build quality,26,0,61,87
every camera,25,50,12,87
voice control,31,43,13,87
thin plastic,54,23,10,87
some applications,31,40,16,87
rear camera,11,50,26,87
Overall a good product,19,7,61,87
Remote control,45,31,10,86
wall charger,10,70,6,86
feature.<br,28,43,15,86
all your devices,0,57,29,86
whatever device,33,48,5,86
any audio,70,16,0,86
all the accessories,10,44,31,85
their quality control,51,5,29,85
both the mouse,31,29,25,85
great cameras,14,1,70,85
scenery,19,32,34,85
mobile phones,12,50,23,85
each cord,16,43,26,85
Voice,55,12,18,85
Power supply,51,28,6,85
3 different sizes,16,36,33,85
16gb,0,51,34,85
these keyboards,19,43,23,85
Ipod,30,9,46,85
all these features,9,38,37,84
their firmware,63,17,4,84
Not the best quality,70,4,10,84
microSD,15,63,6,84
access points,12,53,19,84
circuits,21,28,35,84
8gb,30,37,17,84
manuals,29,48,7,84
Audible,29,38,17,84
Other cameras,12,61,11,84
all the software,10,61,13,84
which device,18,58,8,84
wireless mouse,22,38,23,83
2.4G,46,11,26,83
practicality,37,28,18,83
complete junk,82,0,1,83
some cables,40,27,16,83
those cameras,21,41,21,83
higher resolution,21,20,42,83
longer battery life,24,32,27,83
their headphones,20,46,17,83
Laptops,15,49,19,83
what device,35,42,6,83
Disk Utility,36,46,1,83
/>This device,10,15,57,82
her computer,23,22,37,82
each key,6,50,26,82
three cameras,38,44,0,82
additional storage,13,49,20,82
USB storage,25,39,18,82
more apps,25,40,17,82
no charger,42,29,11,82
replacement parts,44,13,25,82
DVD players,11,32,39,82
/>Battery,11,31,39,81
micro USB,1,58,22,81
other electronics,22,39,20,81
cloud cams,29,35,17,81
Excellent sound quality,11,0,70,81
Overall good product,5,0,76,81
more ports,33,22,26,81
Good quality cable,0,4,77,81
new battery,34,42,5,81
all accessories,5,40,36,81
headphone jack,30,46,5,81
Hard drive,27,33,21,81
similar features,7,37,37,81
these pads,9,48,24,81
photo quality,20,15,46,81
screwdrivers,8,55,17,80
other radios,30,27,23,80
other laptops,12,54,14,80
weight.<br,10,43,27,80
individual cameras,15,25,40,80
efficiency,26,12,42,80
shoot cameras,11,39,30,80
standards,41,37,2,80
excellent picture quality,15,0,65,80
certain keys,64,7,9,80
all my electronics,17,16,47,80
Bluetooth devices,11,27,42,80
our iPad,9,43,27,79
other earphones,42,17,20,79
most headphones,12,10,57,79
connected devices,24,50,5,79
compatibility issues,44,35,0,79
no wifi,42,24,13,79
all aspects,27,22,30,79
all components,21,9,49,79
good speakers,17,20,42,79
these mini cameras,27,27,24,78
DSLRs,8,39,31,78
all the functionality,14,29,35,78
machines,42,22,14,78
razer,35,36,7,78
better features,23,15,40,78
most devices,22,28,28,78
These devices,44,25,9,78
USB connection,26,33,19,78
screen shots,37,39,1,77
additional equipment,8,53,16,77
any application,56,1,20,77
WMP,62,7,8,77
Motion detector,20,49,8,77
Airpods,10,6,61,77
8 batteries,15,26,36,77
three devices,6,40,31,77
mp3 players,11,41,25,77
Tracking,22,1,54,77
USB device,36,39,2,77
its functionality,27,21,29,77
some flaws,44,14,19,77
dell,22,36,19,77
devices.<br,28,13,35,76
such a small device,7,10,59,76
certain devices,30,43,3,76
touchpad,17,19,40,76
arduino,36,16,24,76
motion detector,48,15,13,76
voice recognition,27,32,17,76
bluetooth earbuds,14,41,21,76
no keyboard,46,13,17,76
different adapters,41,30,5,76
transfer speeds,34,25,17,76
good cameras,37,1,38,76
both pieces,27,34,15,76
head unit,20,36,20,76
scanner,23,33,20,76
1 device,3,71,1,75
air pods,9,33,33,75
Very bad quality,75,0,0,75
HTC,8,39,28,75
fitbit,19,43,13,75
internal storage,28,35,12,75
those cables,21,38,16,75
no app,59,14,2,75
Nokia,28,34,13,75
No software,27,48,0,75
video storage,17,57,1,75
gigabit speeds,39,14,22,75
ASUS products,27,1,47,75
enough storage,44,17,13,74
no camera,43,15,16,74
