feature,mentions,sentiment
Agp,6,0.8059203699619198
Agptek,7,0.6436734882112692
Agrado,14,0.6416713743736702
Agreement,10,0.32696674750186505
Ahci,6,0.6249388349242508
Ahora,22,0.7123280189275234
Aicloud,8,0.7706966424666462
Aid,45,0.7949202910288781
Aim,9,0.7783658338400224
Aimesh,31,0.6222312298881251
Aio,27,0.7799762523699664
Air,966,0.6811739225768386
Aircraft,12,0.7959457195029245
Airflow,9,0.7889973512048729
Airline,13,0.8698094456424139
Airplane,69,0.6767393949659258
Airplay,14,0.5741068399178663
Airpod,121,0.7167146922469674
Airpods,195,0.7211024610996575
Airport,89,0.7099441172963197
Airtag,24,0.5508655200913685
Airtags,8,0.8106181506009307
Ajusta,6,0.8890666139971776
Akg,13,0.695816735625088
Akitio,6,0.9824150553322397
Ako,6,0.9017603929969482
Alarm,316,0.604039133250359
Alaska,12,0.8277385006870949
Album,92,0.7541451335681536
Alcohol,40,0.6147511642760947
Alert,232,0.5240500697399794
Alexa,304,0.49251985760843364
Algo,14,0.5925831593672878
Algorithm,14,0.7206824825552758
Alguna,9,0.3859807921366559
Algunas,6,0.5685593864570061
Alien,12,0.7531080059610152
Alienware,18,0.7633318281344449
Align,11,0.6273078974786173
Alignment,60,0.565344455113518
Alittle,12,0.6587203674134798
Alkaline,22,0.7371774320378212
Allen,18,0.7327976535436593
Alley,8,0.7591636209763237
Allot,13,0.7621033617492335
Almacenamiento,7,0.5692898266549621
Alot,256,0.7111634394937028
Alpha,36,0.7075272889398749
Alpine,48,0.7833377225838376
Alt,14,0.36697961589587585
Alta,13,0.7977467430509233
Alternate,6,0.6878914548627412
Alternative,253,0.6412344984145827
Altitude,6,0.6564065710020562
Alto,8,0.4380106203316245
Altura,6,0.689209938282147
Aluminium,6,0.5410449888246754
Aluminum,156,0.722104271064708
Amateur,51,0.8325274882537961
Amazing,29,0.9357870281583646
Amazonbasics,18,0.6921579287009081
Amazons,14,0.4621261151696672
Amber,13,0.8281769742450427
Amcrest,19,0.5194144127063306
Amd,126,0.739837956250186
America,22,0.4666867079507607
American,32,0.7087040153164708
Amount,39,0.6027999979765483
Amp,459,0.7356942674432384
Amperage,23,0.5500779630839014
Amplification,14,0.6618973732194198
Amplifier,229,0.6918266688164183
Amt,8,0.9206849773308932
An,8,0.6936220306015457
Analog,97,0.6663282438736113
Analogue,9,0.6676548845134676
Analysis,13,0.4552629088844137
Analyzer,18,0.7264964226714155
Anc,25,0.619370584464632
Anchor,51,0.7072445024441193
Andriod,10,0.615414603514364
Android,367,0.6377506396386358
Androids,6,0.7201922208429702
Angel,8,0.5196155061130412
Angeles,6,0.6111624224189048
Anger,9,0.6338407059698107
Angle,871,0.7239160151880331
Angry,6,0.31989781352846575
Animal,52,0.7298414028325799
Animation,13,0.702108804261885
Anime,6,0.9400483329081908
Anker,578,0.7413911842971058
Ankle,6,0.4293540462385863
Anniversary,16,0.5791378562362297
Announcement,15,0.46512807024021946
Annoyance,84,0.5808123885619265
Annoying,9,0.21339982973101237
Anomaly,12,0.47622449674721185
Answer,226,0.45242288949215176
Ant,11,0.5072640282292427
Antec,26,0.7666963437026985
Antena,6,0.672024772890533
Antenna,1018,0.6156882331387885
Antennae,32,0.6862103082698923
Antennas,24,0.6687760163161632
Anti,14,0.534611793359675
Anticipation,8,0.29449866579670925
Antivirus,14,0.792063156005627
Anxiety,12,0.8883951702324945
Anyway,22,0.5128398182145744
Aoc,52,0.5639621865026269
Aorus,6,0.664281960871449
Ap,22,0.5837051418308296
Apartment,169,0.6916708572382652
Apc,16,0.6593542282371345
Aperture,82,0.7725167144295794
Apex,7,0.49977206049620043
Aplicación,7,0.49435086934162037
Apology,13,0.5594820687894333
App,2206,0.48816938614754485
Appeal,19,0.7336164325778985
Appearance,122,0.669185831230234
Apple,1257,0.6728460085490366
Apples,8,0.5816045062674675
Appletv,15,0.7587093955119296
Appliance,56,0.5551182777671784
Application,495,0.6806720464283099
Appointment,26,0.6274886591356614
Appreciation,6,0.9138068191095954
Approach,27,0.6275877361530783
Approx,42,0.5964515526395102
Apps,26,0.6148080814914115
April,128,0.2826775730090958
Aps,20,0.7196379741813871
Apt,7,0.8474969066612955
Aptx,7,0.813070158075009
Aqua,7,0.8136111572717449
Aquarium,7,0.9860867698277745
Aquos,6,0.5645636478632999
Arc,59,0.7136384145038792
Arca,7,0.6353119087704856
Arcade,11,0.6970221249132671
Archer,21,0.5646741875319831
Architecture,22,0.7863658023151484
Archive,6,0.8329994659482812
Arcsoft,11,0.35955185299231246
Arctic,21,0.7632476676794578
Arduino,100,0.7095411855796556
Area,1055,0.6481165691941229
Arena,7,0.6651407723048968
Argb,6,0.8314225594658637
Argument,12,0.5174503494733168
Arizona,20,0.6688739348581294
Arlo,48,0.47297051840723725
Arm,487,0.6326889585318239
Armband,43,0.6991498820702978
Armor,13,0.6788201859190639
Army,8,0.8631379122525686
Around,7,0.4296511845397098
Arrangement,40,0.669000291689008
Array,35,0.7318710187250482
Arris,19,0.6877222756807705
Arrival,140,0.3609927228317247
Arrive,11,0.33562376073942607
Arrow,56,0.563760006467159
Arsenal,7,0.9973281768366827
Art,86,0.7469503229487685
Arthritis,17,0.7177474540769575
Article,34,0.5148548059694482
Articulation,7,0.5299923627088512
Articulo,10,0.6012178846867755
Artifact,17,0.6729759365416077
Artist,63,0.7408942652322049
Artwork,8,0.8104737704543368
Artículo,9,0.5620168717836754
Asap,40,0.29178847261355256
Asi,10,0.4498648802516982
Asia,9,0.7462260381030824
Asin,157,0.6343204509360296
Asking,10,0.5830861596623436
Aspect,196,0.6746631158054827
Aspire,25,0.8408996541178203
Asrock,38,0.6374162173290786
Ass,38,0.5842512087574027
Assembly,158,0.6803971411444982
Assessment,9,0.7325931072603756
Asset,12,0.9117310504758885
Assignment,21,0.6172452062822967
Assist,9,0.8965997121833627
Assistance,76,0.39460942248268494
Assistant,37,0.7899233322099757
Associate,9,0.4681972971108432
Association,6,0.8682907634841589
Assortment,38,0.8995221587787168
Assumption,13,0.39170892008293706
Assurance,22,0.5086899580875813
Astatic,6,0.8669355245704841
Astro,9,0.8675010408365375
Astronomy,6,0.6725802152310886
Astrophotography,17,0.7989218241264633
Asurion,38,0.5394555984622504
Asus,773,0.5621881124865054
Asuswrt,9,0.6395400446538891
Así,8,0.4315306644421071
Atari,6,0.6858490032609552
Ath,6,0.8510055722775481
Athlon,11,0.9897682896421016
Ati,13,0.849163801154086
Atlanta,14,0.43237171826461107
Atleast,7,0.4629467036575079
Atmos,12,0.5378180017117605
Atom,7,0.6771105469503839
Att,13,0.720418402334102
Attach,8,0.7984605429101066
Attache,42,0.612891389772163
Attachment,215,0.6292075324030986
Attack,18,0.5660919026534733
Attempt,230,0.33986012456266707
Attention,191,0.6183645046875764
Attic,64,0.7413245188706696
Attitude,16,0.36525872245329083
Attorney,6,0.020531001733615994
Attraction,8,0.8116111686176737
Attribute,14,0.5636748117519476
Atv,6,0.9851579697569832
Atx,34,0.7124161655763814
Auction,11,0.554094443065961
Audacity,10,0.5665688331049751
Audi,16,0.4613149276119657
Audible,17,0.5778539950141053
Audience,10,0.6889718795519002
Audio,1097,0.6349909505140056
Audiobook,58,0.6353864561041801
Audiophile,134,0.7907795660735721
Audioquest,10,0.882224649543059
Audyssey,10,0.8432456946771708
Audífonos,9,0.6363817743387901
Aug,16,0.21188614196580602
August,101,0.38445991423415565
Aukey,12,0.6120153169152521
Aunque,6,0.5042925869735578
Aunt,15,0.7333060407884963
Aura,12,0.7073235205680248
Auricular,6,0.3169025629758835
Australia,10,0.6732097534579224
Authentication,17,0.46894556172329055
Author,13,0.7449903266813356
Authorization,14,0.1394780549287264
Autism,9,0.887237181036552
Auto,569,0.6811250774170713
Autofocus,52,0.6699958990368311
Automation,28,0.6474362167796893
Automobile,13,0.5151423552082494
Aux,289,0.7629918962848401
Auxiliary,7,0.6926344956570704
Av,61,0.6994657852557167
Avail,96,0.20311739516728267
Availability,20,0.755940711699077
Avalon,7,0.8954444936410125
Avatar,8,0.8918420729023637
Avchd,28,0.8566975998572681
Average,38,0.4680366136369565
Avg,8,0.8181465404813935
Avi,8,0.5809165543760173
Avoid,21,0.019452239392280933
Avr,15,0.8858238206943497
Award,13,0.6241799060237379
Awareness,7,0.9484187188416919
Away,21,0.327863375679867
Awe,14,0.9966025898224221
Awesome,287,0.9551209956069862
Awful,26,0.05619591384087331
Awg,11,0.4972880430180918
Awkward,6,0.3116089614729087
Axis,38,0.6162050591282375
Baby,352,0.5575173347453363
Bachelorette,6,0.8339569724194007
Back,9,0.5047402064762233
Backbone,6,0.5783502876680965
Backdrop,126,0.7838455410018801
Background,363,0.604050323543185
Backing,72,0.5851741661588474
Backlight,74,0.6728077174464833
Backlighting,23,0.5921196493898447
Backlit,9,0.8615514538509564
Backpack,425,0.8052893760370481
Backplate,13,0.7193057715127137
Backseat,10,0.9193514739861712
Backside,23,0.8753335423066544
Backspace,9,0.6564005248559018
Backup,466,0.7049168036205649
Backyard,78,0.7955725703249277
Bacon,6,0.7880102795024868
Bad,44,0.4366880475162444
Badge,8,0.8257860547855671
Bag,1637,0.7798971134766948
Baggage,6,0.8370825456998622
Baggie,7,0.722295031018023
Bait,26,0.1385952548858208
Bajo,7,0.9247580414604661
Balance,119,0.7422623345013899
Balancing,6,0.6687434990211235
Ball,208,0.6428405116642073
Ballhead,8,0.8213867621343525
Ballistix,9,0.7055443051956698
Bam,17,0.7569332310702199
Bamboo,7,0.8892232334474102
Banana,9,0.6482417464350065
Band,973,0.619814932069394
Bandwidth,13,0.8301833368694553
Bang,136,0.9004320686105048
Bank,120,0.8048915134391791
Banner,14,0.5564645633941316
Baofeng,55,0.6698722815630556
Bar,549,0.6706625139506224
Barato,6,0.5517938663251698
Bargain,122,0.8115356306466832
Barking,6,0.7252167382393964
Barley,15,0.2825915638667842
Barn,22,0.8057732719819548
Barnes,7,0.5285750295567725
Barrel,33,0.6149396714269338
Barrier,20,0.393776906398125
Base,586,0.6520604111115699
Baseball,23,0.6459470167832003
Basement,125,0.7956994829953182
Basic,67,0.6441457048054166
Basics,28,0.5555899179993763
Basis,143,0.7120513681895662
Basket,16,0.6204395134700462
Basketball,9,0.966818495863764
Bass,1002,0.7205460412592682
Bastante,20,0.8625409491476603
Basura,8,0.32695438363589346
Bat,44,0.5793748651300451
Batch,63,0.28443673028290045
Bateria,10,0.6420423178002238
Batería,19,0.5818394218375417
Bath,18,0.8257825263297289
Bathroom,82,0.8448682708674424
Batt,13,0.7821471911828177
Batter,36,0.5920578001468029
Batteries,16,0.5026077593865921
Battery,5806,0.6356427487650781
Battle,17,0.6993167162440573
Battlefield,9,0.8205416345315624
Bay,83,0.7365386359856804
Bayonet,7,0.666054149935787
Beach,105,0.7885786192555402
Bead,29,0.3967105498023588
Beam,37,0.6883517699911986
Bean,23,0.7007862736443159
Beanbag,6,0.5937079184611017
Beanie,9,0.7519508056963483
Bear,82,0.8401933899185678
Beard,7,0.9467154497521862
Bearing,29,0.46704333408932397
Beast,50,0.9357911094102019
Beat,125,0.8580174416654045
Beating,32,0.865587346757593
Beatles,7,0.539053421650481
Beats,67,0.789160920817226
Beautiful,8,0.8816208635180374
Beautifully,7,0.9976649753911521
Beauty,46,0.820687528811623
Becuase,6,0.25244500652964535
Bed,395,0.7172283069825587
Bedroom,285,0.8336911082708404
Bedside,44,0.608079771248082
Bedtime,14,0.5745327961132196
Bee,13,0.8195808581076562
Beef,15,0.7881397635675966
Beelink,11,0.6830534454837273
Beep,47,0.5162287763334771
Beeping,6,0.36464030706944567
Beer,11,0.8357144656527619
Beetle,6,0.6640211434278172
Beginner,100,0.8682603355263927
Beginning,192,0.4754723663506108
Behavior,56,0.38341917337363285
Belief,10,0.5737600496271625
Believer,12,0.9138088585611209
Belkin,91,0.5419008427484736
Bell,112,0.7515975280797907
Belly,6,0.48306362656876445
Belonging,10,0.6165170958352973
Belt,128,0.7577709636581176
Ben,7,0.7861074983541455
Bench,29,0.5803976734088541
Benchmark,41,0.730883451229779
Bend,61,0.58251443730818
Bending,14,0.6718766641694985
Bendy,8,0.675817989060306
Benefit,140,0.6629965694763087
Benq,16,0.5678713054512627
Bent,8,0.29491089447401464
Besign,9,0.6727187248018001
Best,249,0.6813465827822969
Bestbuy,29,0.609394281181298
Bet,24,0.6005751475155799
Beta,20,0.44413940622180237
Better,18,0.5432961124412637
Bevel,6,0.7024014062335482
Beware,51,0.11840153977676642
Beyerdynamic,7,0.6438297027655479
Bezel,93,0.7506934381006783
Bezos,8,0.29474388563539833
Bias,7,0.4909187423597489
Bible,12,0.8676404849963243
Bicycle,14,0.6671680513869173
Bien,125,0.7615823305074592
Big,79,0.565612930939787
Biggie,13,0.7028063466199316
Biggy,6,0.9242357149196323
Bike,127,0.7560522196032167
Biking,9,0.818353600483129
Bill,203,0.8327696826739789
Bin,30,0.4661731255522075
Bind,10,0.7357212443021126
Binder,15,0.8415768191790751
Binding,7,0.4460987383208703
Bing,8,0.3642243621579837
Bingo,12,0.7788193974168583
Bino,9,0.9219979252245847
Binocular,45,0.7809277100805452
Bio,60,0.5256640634310316
Bios,116,0.5515764413070554
Bird,59,0.7410565467647048
Birthday,248,0.7149701212744819
Bitch,7,0.45940566242539455
Bite,11,0.780056673891853
Bitrate,6,0.5297916488101085
Black,232,0.6929881723737144
Blackberry,21,0.7515491389397843
Blackmagic,11,0.7242222730313767
Blackness,7,0.47342132427729666
Blackout,10,0.719205303833587
Blackvue,8,0.9303924605701468
Blade,83,0.49808732020291385
Blah,10,0.44904998110141603
Blank,11,0.6021041913508353
Blanket,20,0.7270328074402641
Blaring,6,0.546149439556757
Blast,21,0.8316605919944344
Blaster,18,0.7322687654021947
Bleed,19,0.701286505984363
Bleeding,12,0.6911360638647844
Blemish,20,0.6906422304207809
Blend,22,0.8445824536346745
Blender,9,0.8980483281387327
Blessing,15,0.8944757408074414
Blew,7,0.31420198382277575
Blind,9,0.6304844354130587
Bling,19,0.6882865625605183
Blink,1133,0.36318172150404743
Blinking,6,0.6335049420595169
Blinks,10,0.3475438122986816
Blister,9,0.6174976540819949
Bloat,6,0.8460474810369002
Bloatware,44,0.7764020743072085
Blob,6,0.5344212379180439
Block,158,0.5777784714086978
Blockage,7,0.5777488292993179
Blocker,6,0.46960976025244844
Blocking,13,0.7818789013768904
Blog,17,0.9339864883068538
Blood,44,0.7118755280151329
Blow,26,0.724128820135285
Blower,17,0.7630863766637904
Blu,145,0.7836336835690448
Bludio,6,0.6870236300261846
Blue,195,0.6979171549882337
Bluedio,76,0.7019611294626406
Blueray,9,0.7815306035853509
Bluetooth,1500,0.6622056248215643
Blur,42,0.5196805295677872
Bluray,46,0.6672556411466085
Blurring,10,0.6805160015705042
Blurry,24,0.25155146013761015
Blutooth,8,0.7073978499975055
Bmw,17,0.6128925979488379
Bnc,23,0.6681678924170505
Board,523,0.6011467338363257
Boarding,8,0.6456743890412326
Boat,124,0.7204273661256828
Bob,14,0.6175307361907991
Body,337,0.6941878535444819
Bokeh,6,0.8805084898873853
Bolt,132,0.633467309361687
Bomb,17,0.849750317626304
Bond,7,0.7966530874088805
Bone,47,0.6936707168596455
Bonita,8,0.7718102392973378
Bonito,15,0.871029037819244
Bonus,250,0.9161877731531276
Boo,15,0.36224410141197344
Book,875,0.682023774401027
Bookbag,7,0.7898069355952819
Booklet,51,0.6411791994831612
Bookmark,17,0.5573169488514609
Books,10,0.7004165852325969
Bookshelf,42,0.8186892208977952
Boom,131,0.6897201802728623
Boombox,37,0.6151631320535671
Boomy,13,0.5599027098998284
Boost,81,0.7641389563704487
Booster,72,0.6511612288866471
Boot,257,0.667962327726968
Booth,18,0.7961752722828047
Booting,11,0.34582765657581727
Border,38,0.5457671449027992
Borderline,18,0.322393156743298
Bose,351,0.6885492267440577
Boss,39,0.648757128039366
Boston,16,0.4213771501526935
Bot,12,0.5140930112441614
Bother,17,0.568284163121408
Bottle,143,0.8324993139873071
Bottleneck,13,0.7760165066888126
Botton,9,0.6171787555665813
Bought,10,0.5166352480184286
Bounce,21,0.6591055553622677
Bowl,20,0.5810827622874057
Boy,149,0.7420940640438723
Boyfriend,73,0.7998851416241824
Brace,14,0.6414025427989795
Bracelet,41,0.5252854875271158
Bracket,307,0.6773867352775647
Braiding,8,0.9858167320126086
Brain,31,0.6676230707868648
Brainer,59,0.9022575141139372
Brake,24,0.6911063729330635
Branch,18,0.6481911434715989
Brand,2237,0.5221391943265224
Branding,12,0.6529992572225941
Brass,23,0.5976097157273097
Bravia,17,0.7994750598976251
Bravo,14,0.8605517363394029
Bread,16,0.7811606868290255
Breadboard,9,0.5866620372140056
Break,201,0.5359588659616634
Breakage,12,0.584874710868462
Breakdown,15,0.6275762154827438
Breaker,151,0.6249928644955441
Breakfast,8,0.8793471085564306
Breaking,33,0.6574621919355581
Breast,9,0.5116094565148361
Breath,29,0.5559762109247647
Breathing,6,0.7783677632784626
Breeze,213,0.8724603025611813
Brick,181,0.5190502610082918
Bridge,138,0.6570471454583837
Briefcase,43,0.8586839749816221
Bright,9,0.556803218399485
Brighten,7,0.9799475465884565
Brightness,352,0.6767472380619417
Brilliant,7,0.7860227156696575
Bristle,6,0.49853440894124407
Broadband,20,0.7025305139817647
Broadcast,98,0.6539796661715943
Broadcaster,6,0.6392387004258732
Broadcasting,14,0.47239624014556675
Brochure,8,0.4984036956775526
Broke,9,0.32069309927626616
Broken,8,0.03302832527697319
Bronze,7,0.6328686000820848
Brother,165,0.7550273289948536
Brown,27,0.7607815949132027
Browse,6,0.67255031876266
Browser,168,0.48128227128524614
Browsing,27,0.69506015566542
Brush,47,0.6473896726074212
Bsod,12,0.41015904006781057
Bt,83,0.6310961404138564
Btw,40,0.6459532584776753
Bubble,368,0.5797579842555143
Buck,549,0.6142690161166267
Bucket,9,0.2764568468103082
Buckle,48,0.6044538039835364
Bud,717,0.6066883083730846
Buddy,33,0.65698366961927
Budget,316,0.7972188414516057
Buds,17,0.7391153580324231
Buen,90,0.9291266865730803
Buena,127,0.8228778865859352
Buenas,9,0.7787583813381692
Bueno,65,0.7309408202722597
Buenos,17,0.8737315917319125
Buff,7,0.8626173899974674
Buffalo,11,0.6352422219404782
Buffer,36,0.48494822633114787
Buffering,27,0.7180898653858565
Bug,153,0.41183326942895637
Buggy,8,0.440310562356899
Build,705,0.7556818287617652
Builder,17,0.6711569990678553
Building,113,0.745212237585244
Buildup,8,0.6695610524984659
Built,6,0.6286387222547395
Bulb,153,0.47016322185133497
Bulge,15,0.644386570287558
Bulk,99,0.7974467088227751
Bulkier,22,0.7531338587921875
Bulkiness,12,0.7291686112390986
Bull,10,0.6098351590946549
Bullet,41,0.5849888879839876
Bum,9,0.3346175209541495
Bummer,107,0.3140909798730548
Bump,129,0.548449111282011
Bumper,55,0.6282198104197795
Bunch,260,0.6626460849476223
Bundle,93,0.6628193943038387
Bunny,18,0.7711522013176162
Bureau,9,0.23743463972803308
Burial,9,0.8904561651385544
Burn,32,0.6062579024328443
Burner,38,0.7175737677737887
Burning,8,0.7307033941724512
Burst,17,0.6648466819811695
Bus,56,0.647966315591475
Bush,11,0.552246930586989
Bushnell,15,0.26432275768990315
Business,518,0.6502125151011752
Bust,19,0.16493447653115972
Butt,47,0.6914693885996809
Butter,12,0.8820865459941464
Butterfly,8,0.8682872478639183
Button,2682,0.5713638578722977
Buttons,7,0.507268404188965
Buy,959,0.710833096910829
Buyer,312,0.28994366844161934
Buying,83,0.5547979294113093
Buzz,34,0.5451805168276598
Buzzer,12,0.761620261502685
Buzzing,64,0.40156582290865117
Bye,9,0.5297292076154716
Bypass,8,0.395768423062691
Byte,11,0.7193244848167524
Cab,36,0.7829088998462086
Cabin,23,0.8341587155895389
Cabinet,91,0.7842697751464305
Cable,6668,0.6922663510527368
Cables,22,0.6855626734336098
Cabling,38,0.7627319714857118
Cac,33,0.8871668637571433
Cache,33,0.8060735279419036
Cad,18,0.847457109024011
Cada,14,0.5106234686183078
Caddy,42,0.692237474175705
Cadence,8,0.5778873690142063
Cadillac,6,0.6919004070999412
Cafe,6,0.8165774501685519
Cage,34,0.6927081224087434
Caja,9,0.5950670669683151
Cake,45,0.8126841779518549
Calculation,7,0.5594054170817669
Calculator,19,0.8857476019758522
Calendar,21,0.7451695889023886
Caliber,6,0.3280750324872012
Calibration,47,0.6753221733725947
Calidad,136,0.7663666729015804
California,37,0.690595442482673
Call,534,0.5708287451218141
Callback,6,0.44089820596855134
Caller,38,0.5158038044526045
Calling,12,0.6504279699972054
Calorie,11,0.6847869179327972
Cam,653,0.4752299282114627
Camara,53,0.4964319407694999
Cambridge,12,0.5166507151249485
Camcorder,123,0.7402691295186136
Came,11,0.7179924613499845
Camer,6,0.7423593916076546
Camera,7822,0.5711828891007401
Cameras,74,0.36104969235413986
Cameta,6,0.7194817297083015
Camo,10,0.6702479052299168
Camp,24,0.8287401831015208
Camper,79,0.7850403760391681
Campground,6,0.36862537204676
Camping,76,0.7789349827626689
Campus,12,0.8879035693043988
Camry,9,0.8310744951142826
Cams,41,0.30200920315110125
Can,41,0.6510451066338957
Canada,16,0.6340580269534257
Canal,70,0.6184154023497416
Cancel,7,0.644685177431841
Cancelation,30,0.785057192571306
Canceling,61,0.7680769200475178
Cancellation,192,0.7062823213782016
Cancelling,77,0.7380261151143217
Cancer,11,0.5157569016128863
Candidate,7,0.7031048503538061
Candle,13,0.6439837476276667
Candy,57,0.7622335174939444
Cannon,46,0.6593586816813078
Canon,543,0.6821414166053332
Canvas,35,0.6812666016248321
Canyon,8,0.7626463227788918
Cap,282,0.6877661605487047
Capability,406,0.6999635193123198
Capacitor,31,0.5551291308628635
Capacity,323,0.7577683444892852
Caps,8,0.7376542305173643
Capsule,12,0.4404077355284244
Caption,10,0.9607780399412149
Capture,80,0.6357205245047226
Capturing,6,0.5175969601841643
Car,1926,0.7266562245277326
Carabiner,29,0.735854066196821
Carbon,47,0.7516389986205391
Card,2258,0.6307890364109111
Cardboard,66,0.5275257146294638
Cardio,12,0.9222517012003664
Cards,13,0.8496417909314354
Care,306,0.6195744505167105
Career,11,0.6785565980800047
Carga,24,0.6503691373218317
Cargador,7,0.6977938861985292
Cargar,9,0.5744465793379478
Cargo,13,0.9377443297416903
Caribbean,7,0.9923041574989578
Carpal,12,0.7264224138464973
Carpet,37,0.6001267027482705
Carplay,51,0.6693016704618154
Carrier,52,0.6975750832447934
Carry,69,0.8388171163655436
Carrying,126,0.8409551477088826
Carryon,7,0.8333075597516394
Cart,70,0.775792842370512
Cartoon,23,0.6049124002798318
Cartridge,71,0.5807993797983804
Casa,20,0.750828469148837
Case,6639,0.7036279647271387
Casecrown,7,0.7256335374549963
Cash,60,0.5766567016034969
Casi,8,0.5718134010094218
Casing,111,0.5890149160805851
Casio,22,0.6562688203980955
Caso,6,0.6626586784453442
Cassette,83,0.5868489904805537
Cast,16,0.6161735565619892
Cat,271,0.7087757314929186
Catalog,9,0.5993605751023602
Catch,39,0.5109633271215268
Category,72,0.672648609545427
Cause,117,0.5408459065504906
Caution,52,0.7403390827273072
Cave,14,0.6096568175936616
Caveat,66,0.6789209992983326
Cavity,6,0.5929571708353857
Cbs,30,0.658632048775568
Cca,6,0.2687039412558079
Ccd,13,0.5242993416076598
Cctv,20,0.658963585201127
Cd,1050,0.5651423243075676
Cdrom,7,0.5623424037891839
Cec,24,0.5740640891647976
Ceiling,137,0.7532462536793476
Celeron,9,0.9301404248172831
Celestron,13,0.7824306837462175
Cell,531,0.705867710569176
Cellophane,6,0.18012671935139224
Cellphone,85,0.7314348876008915
Celsius,11,0.900126930384431
Celular,10,0.6110371035523713
Cement,11,0.6527828576720573
Cent,59,0.5315364562621206
Center,389,0.5660244356628555
Centimeter,8,0.3820363056147471
Centipede,11,0.6648542133625597
Century,12,0.8634227542182392
Certainty,8,0.6921732351993342
Certificate,13,0.787522939642748
Certification,14,0.6002997254919527
Certified,14,0.6308786772808942
Cerwin,6,0.869687249044849
Ceva,8,0.9604005476212478
Cfm,7,0.5887702255069078
Chain,76,0.6629929686322086
Chair,73,0.8124174158402228
Chalk,8,0.681357195135206
Challenge,87,0.6967024047388668
Chamber,8,0.5766370883211493
Champ,58,0.8309277751417038
Champion,6,0.59654933034714
Chance,462,0.5300767453329361
Chanel,9,0.6506998462136835
Change,412,0.594440976245714
Changer,54,0.8490529581550719
Channel,1167,0.5967978702269511
Channels,7,0.7475842419059647
Chapter,20,0.4685216501180548
Character,81,0.5592467763077074
Characteristic,21,0.6571373642163096
Charcoal,7,0.802514152726092
Charge,1906,0.5492303269760189
Charger,2296,0.6221986557270247
Chargers,8,0.5204245872082538
Charging,623,0.645204263793548
Charity,6,0.7110593635879923
Charjen,21,0.9958250028929407
Charjenpro,22,0.9142453248608614
Charlie,7,0.6648059022928854
Charm,285,0.91514126088556
Chart,33,0.7434475968087403
Chassis,23,0.6682670564193319
